제목,본문,답변
소액민사소송 승소 그 이후에 대해 궁금한게 있습니다,"원룸보증금을 떼먹혀서 민사소송을 하고선 재판에서 승소했는데요 약식재판이었고 판결문이 저희 집으로 도착했는데 승소는 했어도 떼먹힌 보증금을 받지못하면 종이쪼가리에 불과하잖습니까

누구는 그사람 집을 경매?를 신청하라는데 제가 판결에 따라 집주인에게 돈을 받으려면 무슨 절차를 밟아야 하는지,
그 절차에 필요한 서류가 무엇인지, 어떻게 밟아야 하는지가 궁금합니다.

제가 공장에서 일을 하는데 월차를 낼 여유도 없고 법원을 갈 시간이 정말 짧게 있어서 법원가서 어떻게 하나요 물어봐가면서 할수없어서 미리 알아놓고 준비해서 한번에 처리를 해야해서 여쭤봅니다","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
소액으로 집행하기 위해 부동산 경매를 하기는 부적합해 보입니다.
집주인의 채권-예금채권이나 원룸을 여러개 가지고 있다면 다른 원룸의 차임 등-을 압류추심명령이나 전부명령을 신청하는 것이 적절한 방법으로 보이네요."
지급명령 -> 변론기일 승소 후,"개인 대 개인으로 돈을 떼먹혀서

지급명령을 넣고 공시송달 이후 변론기일이 지정되어서

법원에 출석하여 승소판결 받았습니다.

이후 어떠한 절차를 거쳐서 돈을 받아낼 수 있는지 궁금합니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
확정판결을 받았다면 다시 그 판결에 기해 채무자의 재산에 대한 강제집행을 하여야 합니다.
강제집행절차 또한 법원에 신청하여 진행하여야 합니다.
 "
민사 손해배상 소송에 관해서,"어떤 사건과 관련해서 저(원고)는 손해배상 민사소송을 제기하였습니다.

피해보상금액은 정신적피해보상 포함해서 2,500만원 배상을 원했고,
상대방측(피고)은 400만원을 배상해주겠다고 했습니다.

1심에서 판사님께서 화해권고결정을 내리셔서, 8월까지 1,000만원을 지급해라는
결정사항을 받았습니다.

여기에서 궁금한 점이,
1) 제가 화해권고결정에도 손해배상금액이 적다고 생각하면, 항소를 하면 된다고 들었습니다.
그럼 화해권고결정 등기 수령일로부터 2주 이내에만 항소를 신청하면 되는건가요?

2) 제가 억울해서 항소를 하게 되면, 최종적으로 화해권고 금액보다는 적을수도 있고,
최소 피고가 주장하는 400만원보다도 적을수도 있을까요? 

3) 제가 소를 제기할때, 소장 부본 송달일까지는 연5%, 다 갚는 날까지 연12% 비율로 계산하여
지급해달라고 했습니다.
하지만 화해권고결정을 보면, 8월달까지 1,000만원을 지급 시 이율은 없고,
8월달까지 지급하지 않을 시, 사건 발생일로부터 다 갚는 날까지 연12% 계산하여 지급해라고
나와있습니다.
이 문구를 읽어보면, 만약 피고가 8월달까지 배상책임으로 1,000만원을 갚을시,
원고는 1,000만원만 받고 사건해결 되는거고...
제가 소를 제기할때 기재했던 연5%, 연12% 비율을 못 받게 되는건가요?

4) 화해권고결정을 보면 소송비용은 각자 부담한다 라고 나와있습니다.
소송비용은 얼마 정도 나오나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
화해권고결정은 법원이 그 내용에 따라 합의할 것을 권고하는 것입니다.
아무도 이의를 제기하지 않아서 확정되면 확정판결과 동일한 효력이 있습니다.
당사자 중 일방이라도 이의를 제기하면 본래 진행되던 소송절차에 따라 진행됩니다.
-화해권고결정은 법원의 판단 즉 재판이 아니고, 이에 대한 이의는 판결에 대한 항소가 아닙니다.
그리고
화해권고결정은 관례적으로 소송비용은 각자 부담한다는 내용으로 하고,
이자는 그 내용상 지급하기로 한날이 경과할때를 기준으로 하는 것이 일반적입니다.
결론적으로 말씀드리면
이의하면 화해권고결정은 법적으로는 아무 효력도 없게 됩니다."
소액 민사소송 관련,"같이 일 하는 사람 한테 300 만원 을 생활비 명목으로 빌려줬습니다
매달 50만원씩 갚는다는 조건으로
근데 일을 하는 상태를 보니 도저히 돈을 못갚을 사람같더군요
그러다가 일을 그만두게 되어서
돈을 달라하니 돈이 없어서 못준다는 식으로 지금 거의 1년정도 연락이 안되고 있습니다
검찰에 고소를 해보니 생활비 명목으로 사용한게 맞아서 형사적으로 뭐 해줄수 있는게 없고
민사소송으로 하라고 하는데 소액 민사 소송은 그냥 근처에 법원? 등기소? 이런곳을 가면 되는건지
수원지방법원? 이쪽을 가야 하는건지..
그냥 맨몸 으로가서 소액민사소송 하려고 왔다고 하면 되는건지
비용은 얼마나 들고 시간이 지난상태에서 얼마를 받을수있고
궁금한건 많은데 뭘 더 알아야 할지..
답답해 죽겠네요 쓰면서도
 ","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
소송을 제기하기 전에 지급명령을 신청하시길 권합니다.
비용도 적게 들고 절차도 간명합니다.
그런데 상대방이 변제자력이 없다면 지급명령이 확정되더라도 집행할 재산이 없다면
실효적일지는 의문이네요.
그리고
고소를 할 때 변제능력이나 변제의사를 문제삼았어야 하는데, 대여명목을 기망한 것으로 고소를 한 것 같네요.
 "
대여금반환청구소송,제가 1년3개월 전에 지인이 어머님수술에 돈이 필요하다고 급하게 찾아와서 제가 대출까지 해가면서 4000만원 조금넘는돈을 빌려줬습니다. 차용증은 썼는데 그 사람이 우선 가져갔고 3달 정도 300만원씩 갚았는데 그 이후로 계속 말도 안되는 변명만 해가면서 지금까지 그 이후로 갚지않고 있습니다. 제 신용은 떨어질때로 떨어져서 지금 밑바닥을 치고있고 아직 대출금도 다 갚지못해 은행에서 찾아오고 있습니다. 그 동안 너무 스트레스 받으며 살아왔고 이제는 도저히 못기다려서 진행 할려고 합니다.증거자료 이체내역 카톡 문자내역 다 있구요 지급이행각서 쓴것도 있고 통화내역도 있습니다. 충분히 진행 가능한거인가요? 돈은 받을 수 있을까요?,"현실적으로 돈을 받을 수 있는가는 상대방이 변제할 자력이 있는지의 문제이나,
그 정도 증거라면 소송에서 충분히 승소할 수 있을 것으로 보입니다."
임대차보증금반환 민사소액 절차,"안녕하세요
임대차보증금반환 관련으로 소장접수를하였고
민사소액이라 나홀로소송진행중입니다.

소장접수후 피고의 답변서를 받았습니다
그럼 저는 또 제출해야하는서류가  답변서를 제출하는건지.. 반소장을 제출하는건지 ㅠㅠ
만약 답변서를 제출하는거면

청구취지에대한 답변
1.원고의청구를 기각한다.
2.소송비용은 원고의부담으로 한다.

위에 해당부분은 어떻게 수정을해야하는건지..

청구원인에 대한답변
해당양식은 그대로 사용하면되는것인지 ㅠㅠ 답변좀 부탁드릴게요
너무 힘드네요...","피고가 답변서에서 주장한 내용에 대한 입장을 준비서면이라는 형식으로 재출하면 됩니다.
파고가 청구원인에 대한 답변을 추후에 재출하겠다는 내용으로 형식적인 답변서를 재출한 것이라면 무변론원고승소판결을 피하기 위한 것이므로, 피고가 실질적안 내용을 적은 서면을 재출하면 그 때 준비서면을 재출하는 것이 일반적입니다."
상간녀 위자료 소송 위자료 금액 산정,"저는 전업주부이고, 남편의 직업은 공무원인데, 어느 정도 사회적으로 지위도 있고 급여도 억대 연봉으로 많은 편입니다.

그런데 남편이 외도를 해서 상간녀에게 위자료 청구소송을 하려고 하는데, 저는 전업주부임에도 일반적으로 사회적 지위도 없고 연봉도 낮은 남편을 둔 다른 부인들보다 위 제반사항 등을 고려하여 상간녀에게 좀 더 많은 금액의 위자료를 청구할 수 있는지요?

간략하게 말해 상간녀 상대로 위자료 청구소송을 할 경우, 저의 직업과 상관없이 남편의 직업이나 연봉에 따라 위자료 금액의 많고 적음을 결정해서 소장을 접수하는지요?","위자료는 정신적 손해를 말하는 것으로,
남편분의 직업이나 잘문하신 분의 직업과는 무관합니다.
혼인관계 상태나 기간 등이 고려됩니다.
상간자에 대한 손해배상청구액은 거의 정형화되어 있습니다."
민사소송 증인출석 질문,"민사소송 원고측에서 요청해서 증인 출석을 했었습니다.
피고측 변호사가 묻는거에도 답변을 아는한 다했습니다.


피고측이 지고 항소를 했습니다.

질문. 피고측에서 항소후 동일증인을 재 요청 하기도 하나요?
         사실 증인 출석 너무 하기 싫은데 원고가 억울한걸 알았기에 참석했었습니다.
        거짓말 없이 성심성의껏 아는답변을 다 했었고요.
        근데 만약에 또 증인을 나가게 되야 한다하면 거부하고 싶습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
법원이 증인신문의 필요성이 있다고 판단하였다면 출석하여 증언을 하셔야 합니다.
증인은 하고싶을 때 하는 것이 아니라 법적 의무입니다.
출석하지 않으면 과태료 처분을 받거나 강제로 구인될 수도 있습니다."
형사사기고소판결 후 민사소송,"피의자는 2017년에 사기(6천만원)고소후 2019년판결나와서 징역살이하고 현재는 출소한걸로 알고있습니다.(서울남부지방법원)

손해배상소송진행을 할까하는데 공소시효는 언제까지일까요?
지급명령이 떨어졌는지도 몰라 검찰청에서 열랑등사신청은 해놓은상태고요.

이번에 손해배상소송진행을 할려면 다시 서울에서 진행해야하나요?
제가 수원에 사는데 수원법원에서 진행가능한걸까요?","2017년 고소하였다면..
불법행위에기한 손해배상청구는 소멸시효기간(안날부터3년)이 경과하였을 것으로 보입니다.
따라서
사기의 구체적 내용을 분석해 다른 청구원인을 찾아보아야 할 것입니다.
사건에 대한 구체적인 상담은 아래 기재된 번호로 연락주세요."
손해배상 소송 피고가 미성년자이면,"안녕하세요
미성년자에게 손해배상(기)의 소를 전자소송으로 제기한 상태인데요.
미성년자의 경우는 승소하더라도 재산이 없어 집행명령을 진행할수 없다고 들어서요..

1.아직 법원의 보정명령이 나오지 않은 상황인데, 보호자를 특정하여 피고를 변경할 수 있는 방법이 있나요?
2.보호자 정보를 알기위해서 초본을 떼려면 법원의 피고보정명령이 있어야하나요?

혼자 소송진행하려니 어려워서 질문드립니다ㅜ

3.아니면 그냥 승소를 하게되면 어찌됐던 승소일부터 계속 이자가 붙으니 천천히 금액을 받아도 된다면 기다려도 무방한건가요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
당사자를 변경하는 것은 법에 규정된 경우에 한하여 허용됩니다.
미성년자의 불법행위를 이유로 미성년자를 상대로 하여 소를 제기하였다면,
부모를 상대로 별소를 제기한 후 병합을 신청하는 것이 타당해 보입니다."
회사 폭언 고소,"안녕하세요

오늘 저를 제외한 7명의 앞에서 저에게 ㅅ발새끼 병ㅅ새끼 사람다워야 사람취급해주지

이런 욕설을 직장상사에게 당했는데요

너무 놀라서 녹음을 하지못했는데 고소할수있을까요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
그 상황을 진술해 줄 분들이 있다면 녹음되지 않았다고 하더라도 그 사실이 인정될 수 있습니다.
먼저 함께 있던분들의 진술서를 받은 후 고소를 진행하는 것이 타당해 보입니다."
지급명령 소송 질문,"이렇게 나와있는데 혹시 신청서 각하와 각하명령등본이 무슨 뜻인가요? 그리고 지금 사건진행이 어떻게 되어가고 있는 것인가요?
 2020.10.21  신청서접수    
 2020.10.23  채무자1 OOO에게 지급명령정본/독촉절차안내서/전자소송안내서 발송   2020.10.30 폐문부재  
 2020.11.02  주소보정명령  2020.11.11  
 2020.11.02  채권자1 주식회사 케이티(보정일련번호:1)에게 주소보정명령등본 발송   2020.11.10 도달  
 2020.11.11  채권자 주식회사 케이티 주소보정서 제출    
 2020.11.12  채무자1 OOO에게 지급명령정본/독촉절차안내서/전자소송안내서 발송   2020.11.18 폐문부재  
 2020.11.19  주소보정명령    
 2020.11.19  채권자1 주식회사 케이티(보정일련번호:2)에게 주소보정명령등본 발송   2020.11.27 도달  
 2020.12.11  채권자1 주식회사 케이티에게 각하명령등본 발송    
 2020.12.11  종국 : 신청서각하","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
지급명령정본이 폐문부재로 송달되지 않아 결국 그 신청서가 각하된 것입니다.
지급명령사건 자체는 끝난 것입니다.  
혹시 질문하신 분이 채무자라면?
그렇다고 채무를 면하는 것은 결코 아닙니다.
소송을 제기해서 공시송달로 끝낼 수 있고, 
처음부터 채무를 변제할 의사가 없었다고 판단되면 사기죄로 형사사건화될 수도 있습니다.
  "
"소액민사소송 문의부탁드려요,,, (내공100)",6월달에 80만원을 사기당했는데 상대방은 벌금을 물고 저한테 돈을 안주려고 하는 상황입니다. 대학생으로써 이 돈을 갚아나가기에는 너무 무리이고 힘든 상황입니다. 어떻게 해야할까요,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
민사소송을 하기에는 너무 소액이네요.
먼저 사기죄로 고소를 하고 이후 배상명령신청을 하는 것을 고려해볼 수는 있겠네요."
배상명령과 지급명령 민사 신청,"약 2017년쯤 중고나라 사기로 사기꾼은 약 2년형 살고 현재 출소했습니다.
 그때 당시 고소하며 배상명령을 신청하였으나 진행되지 않았고 현재 전자소송으로 진행하려하는데

지급명령으로 바로 진행할 수 있는지 아니면 민사부터 진행해야하는지 알려주세요","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
지급명령을 신청할 수 있습니다.
다만 법원의 지급명령에 상대방이 이의를 신청하면 일반 소송절차로 전환됩니다.
그리고 지급명령도 민사절차입니다.
 "
돈 안 갚는 사람 112에 신고,일주일 내로 갚겠다는 돈을 두 달 동안 안 갚는 사람이 있어서 신고를 하고 싶은데 112에 전화해도 되나요? 금액은 15만 원입니다 제가 대학생이라 작은 금액이 아니라서요 꼭 돌려받고 싶은데 어떻게 해야 하나요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
빌린 돈을 변제하지 않는다고 하여 범죄가 성립하는 것은 아닙니다.
채무불이행죄는 업습니다.
상대방이 변제능력이나 변제의사등이 없었는데 속인 것이어야 합니다(사기죄)."
차용증 쓰는법,약20년전부터 고모부부에게 남편이 돈을 빌려주기시작해서 현재까지 추가차용액이 늘어나고 중간에 갚은돈도 있어서 복잡해졌습니다. 약 1년전 남편이 사망했고 서로 차용금액을 확실히 할필요가 있어서 다시 차용증을 쓰려고 합니다. 이런 경우에 차용증을 쓰는것이 맞는지 궁금합니다. 또 차용증을 쓰는날짜는 어떴게 해야하는지 추가할 내용은 무엇인지 알고싶습니다,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
20년이라면 일정부분은 시효로 소멸하였을 가능성도 있습니다.
~일자로 ~의 채무가 있음을 서로 확인하고 이에 대해 서로 이의를 제기하지 않는다는 내용의 확인증을 작성하면 될 듯합니다.
법적으로는 화해라는 것으로 기존 법률관계를 대체하게 됩니다.
 "
상속재산 점유취득시효,건축물을 증여받은지 12년이 되었네요 증여받을때 옆토지의 부속창고건물까지 증여받게되어 등기를 마쳤었어요 부속건물이있는 창고부지(토지)는 증여해주신분 토지로 남아있구요 돌아가셨으니 상속재산으로 남아있습니다.취득시효를 주장하여 토지의 소유권을 주장할수 있을까 여쭙습니다,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
다른 요건이 인정된다고 할지라도 현재 시점에서 시효취득은 불가능합니다.
부동산 점유취득시효는 20년의 점유가 필요합니다.
  "
민사소송기간,"제가 3년전쯤 사기를 당해서 경찰서에 신고했는데 알고보니 제가 형사소송을 했던거였고 그 사람이 군대를 가서 잡아서 처벌받는데까지 2년정도 걸렸습니다.
그리고 만사소송을 다시 하려고했으나 제가 수험생이라 이제라도 민사소송을 넣으려고 하는데 시간이 이렇게 오래 지났지만 민사소송을 할수 있나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
민사소송을 제기하는데 일반적인 기간의 제한은 없습니다.
다만 청구하고자 하는 내용에 따라 소멸시효 등을 확인하여 합니다."
지급명령신청,"안녕하세요

저는 서울에 작은회사를 다니는 평범한 직장인입니다.

법에 대해 잘 모르는 점이 있어서 질문 드립니다.

2018년 05월 11일경 법원 조정성립된 민사소액건이 있습니다.

제가 받아야할 금액 (원고소가)가 550,000 인데 2년이 넘은 아직 받지 못한 상황입니다.

현재 상대방의 연락처나 , 주소는 현재 모르고

법원 홈페이지에서 사건조회하여 인쇄한 출력물만 가지고있습니다.

이 상황에서 , 돈을 받으려면 어떤 방법으로 진행하여야하는지  ,

절차를 알려주시면 대단히 감사하겠습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
조정이 성립되었다면 상대방의 재산에 강제집행을 하셔야 합니다.
재산을 모르면 재산명시신청을 하세요.
 "
상속 빛에 관한 질문입니다. 내공100,"어머님이 20년전에 보험으로인해 빚이생기셨는데
치매를걸리셔서 자녀들이 그사실을 모르고있다가 최근에
돌아가신 후 민사소송이와서 알게되었습니다.
원금이 700만원인데 20년이자로 2천만원이붙었다는데
치매로인해 그사실을 모르고있다가 최근에 소송이오면서
알게되었습니다.

1. 소송에서 원금만갚게라도 할수있을지?

2. 그게안된다면 할부라도 가능한지?

도와주십시요.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
법원이 채무자에게 이자를 면제하거나 할부를 허용할 수는 없습니다.
어머니가 남긴 재산이 많다면 변제할 수 밖에 없을 듯하고,
빛이 더 많다면 (특별)한정승인을 고려할 수 있습니다."
녹취 위법에 해당되나요?,"회사에서 퇴사할때 몇가지 합의사항에 관련하게 확실하게 해두고싶어서

임원과 대화할때 대화내용을 녹취하였습니다.(별도로 녹취하겠다라고 고지는 안했습니다.)

그런데, 대화내용을 녹취한 사실은 이야기를 하였습니다.
(합의과정에 참여한 임원에게)

이경우 불법녹취인가요? 회사에서 저에게 민사소송이 가능한지요?

가능하다면 관련 조항도 같이 알려주시면 감사하겠습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김희선 입니다.
무단으로 타인간의 대화를 녹음하면 통신비밀보호법위반으로 처벌됩니다.
그러나 대화자 중 1인이 녹음하는 것은 타인간의 대화를 녹음한 것에 해당하지 않습니다."
