제목,본문,답변
돈안갚는거 해결하는법,빌려준돈 안갚는거 민사문제로 어떻게 해결해야되나요뭐부터 해야되나요, 로톡  이종찬 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 이종찬 입니다먼저 내용증명을 보내 보셨나요 내용증명으로 기한을 정해 독촉한 뒤 그래도 응답이 없으면 법적 절차를 밟으시는 것을 권해드립니다결론만 먼저 말씀드리면 지급명령 절차라는 것이 있습니다지급명령 절차는 채권자의 청구에 이유가 있다고 인정되면 당사자들이 법원출석을 하지 않고도 채무자에게 지급을 명하는 재판을 뜻합니다지급명령신청은 인터넷으로 혼자서도 진행할 수 있습니다 대법원 전자소송 사이트에 들어가신 다음 전자독촉이라는 시스템을 활용하시면 되는데요다만 전자독촉 시스템을 이용하시려면 채무자의 주민등록번호를 알아야 합니다만약 채무자의 주민등록번호를 모르실 경우 사실조회신청을 할 수 있는 민사소송으로 진행하셔야 합니다지급명령 신청이 채무자에게 송달된 이후 14일 내에 채무자가 이의를 신청하지 않으면 그대로 판결이 확정되어 강제집행을 할 수 있게 됩니다유의할 것은 지급명령신청에 채무자가 이의를 신청하는 경우가 있는데 그럴 경우 정식소송으로 진행하셔야 하기 때문에 소송비용이 발생하게 됩니다주민등록번호를 모르는등으로 인해 지급명령신청이 어려울 경우에는민사소액사건재판으로 가서 사실조회로 피고 인적사항 확보 후 민사소송으로 해결해야 합니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
인터넷 사기죄고소,제가 인터넷에서 대리구매같은 개념으로 수고비를 지불하고 구매했는데 입금한지 거의 2주가 다되어가는데 받지못했습니다 그러다가 2일전에 받게되었는데 신고가능한가요  관할법원 진행사항1심2심3심 청구금액 사고일시 사건의 경위 손해의 내용 증거유무 장해율 월 소득액 산재보험가입유무, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다사기죄란 타인을 기망하여 재물이나 재산상 이득을 취한 경우에 성립합니다관련 규정은 아래와 같습니다형법 제347조사기  사람을 기망하여 재물의 교부를 받거나 재산상의 이익을 취득한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다 개정 19951229 전항의 방법으로 제삼자로 하여금 재물의 교부를 받게 하거나 재산상의 이익을 취득하게 한 때에도 전항의 형과 같다기망의 의미는 사실과 다른 내용을 말하여 상대방에게 착오를 일으키는 것입니다사안에 대해 구체적인 정보가 필요하겠지만 인터넷 대리하는 자가 처음부터 기망의 목적이 있어 재산상 이익을 취득한 경우라면 사기죄가 성립할 수 있습니다예를 들면 질문자님이 사기를 행한 자에게 신고하겠다고 하여 물건을 준 경우 이는 취득한 재산상이익을 돌려주었다고 하여도 마찬가지 입니다 다만 단순히 지연된 것이라면 사기죄가 성립하지 않습니다 민사상 문제는 될 수 있습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
민사소송및 자금반환신청,오래 사귄 여자친구에게 대출을받아서 조금씩 빌려준돈이5000만원 정도 됩니다여자친구는 조금씩갚아나가고 제가 연대보증을 선 대부업체에 이자를 몇달 납부하다가 궁지에 몰리자 아무런 말도없이 전화번호도 바꾸고 연락도 안된게6개월이 지났습니다그동안 추심과 빚독촉으로 회사에서 제이미지도 상하고 개인회생까지 진행하게 되었습니다많은돈을 빌려준계기는 처음엔 연대보증을 서주고 여자친구가 못갚아나가서 조금이라도 이자싼데에서 제가대출을 받아 갚으라고 주고 저한테 다달이얼마씩 주면 제가해결해 나가겠다고 해서 였습니다지인들에 말에 의하면 제가살던곳에서 몇번 같이 만났던사람과 만난다고 하고 뻔뻔하게 저랑 지냈던곳에 나타난다고 합니다배신감도크고 상처도 많이 받은 저는 이제야 맘을 추스리고 대처를 하고자 글을올립니다편하게 지내기위해 제가 보증금일부를 보태고 여자친구가 나머지금액을 마련해서 오피스텔을 얻었습니다그보증금 마저 일수를써서 잡히고 2500에35만원 월세에서 500에 55만원으로 계약을다시했다가 나머지 보증금 500만원까지 잡히고 일수를 써서 저는 6개월전에 살던곳에서 강제퇴거 당했습니다6년넘게 사귄사이라 너무믿었고 제가 순진하고 멍청하다는 생각만들어 괴롭고 힘듭니다세상참 무섭다는 생각도 마니하게 됬습니다민사소송이나 경찰에 신고하고싶어도 통장거래내역 말고는 증거가 없습니다이정도면 사기나마찬가진데 답답합니다여자친구는 저와 만나는중에 파산을 한사람입니다그래서 통장거래는 남동생 통장과 어머니통장으로 거래한 상태입니다주위에서 민사소송을해도 돈받기도 힘들고 몇년씩 걸린다고 하는데 정말 그런가요그리고 민사소송을 하려면 어떻게 해야하나요경찰에 사기죄로 신고할수는 없는건가요혹시 자금반환신청을하면 여자친구 통장을 쓴게 아니니깐 몇년전것도 돌려 받을수있을까요적은돈도 아니고 마음도 심하게 다치고 얼마라도 건지고 싶습니다전문가님들에 법률적 지식과 조언 부탁드립니다, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다여자친구가 파산까지 한 것으로 보아 갚을 의사나 능력이 없으면서 질문자님께 대출을 부탁했을 가능성이 높아 보입니다이 경우 사기죄가 성립할 수 있습니다비록 객관적인 차용증이 없다고 하더라도 질문자님의 지인들 중 여자친구와 질문자님의 관계에 대하여 증언을 해줄 사람이 있다면 이들의 증언을 통해 차용 사실을 입증할 수 있습니다 여자친구가 일부씩 갚은 내역도 증거가 될 것입니다민사 소송의 경우 짧게는 6개월에서부터 몇 년까지 걸리겠으나 차용 액수가 크고 질문자님의 피해가 막심하므로 대여금 반환청구소송 진행 하시기 바랍니다일반 민사 채무는 소멸시효가 10년이므로 10년 전의 채무가 아니라면 이행청구 가능합니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
부모님상속,다름이아니라 저희아보지께서 빛이3000만원이있는데요 아버지앞으로는 명의로된게무것도없어요 엄마한테땅이랑집명의가있는데요 만약제가상속을받으면 엄마꺼로받을수있나요 그리고 상속받으면 저희아버지빛조같이빋나요 급합니다, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다아버지와 어머니에게 각 별개로 상속 받을 수 있습니다질문자님이 상속포기를 하지 않는 한 아버지의 재산 뿐만 아니라 채무도 함께 상속 받습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
지급명령신청서, 제가 600만원 사기를 당했는데그 피고의 주민번호랑 주소랑 전부 알고있어서 지급명령신청서를 작성하여소송을하려고 합니다근데주민번호는 정확한데 주소가 정확하지가 않아서요주소도 정확히 알아야 정확한 절차진행이 가능한건가요, 로톡  이종찬 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 이종찬 입니다주민등록번호만 알면 됩니다주소를 잘못 써내면 통상 7일 내에 법원에서 주소보정명령이 올 것입니다이후에 주소보정명령지와 초본신청양식을 작성해서신청인 발급대상자 주민등록번호 등을 적게 되어있음가까운 동사무소로 가서 주민등록초본을 떼면 피고의 주민등록상주소지를 알 수 있습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
1년 전 자신의 흉을 받다고 고소 한다고 합니다, 관할법원 진행사항1심2심3심 청구금액사석에서 모여 한 얘기를 1년 반 정도 지난 지금에서 인신공격과 몀예회손이라는 명목으로 고소를 한다고 합니다 증인도 다수 확보를 했다고 하며 하지 않은 얘기도 모두 인정하고 각서를 쓰라고 하는데 이련 경우도 고소가 되는지 과연 점심 먹으면서 차 마시며 했던 기억나지도 않은 이야기로 고소를 한다는 사람들도 이해가 가지 않고 없던 얘기를 지어낸 것도 아니고 제가 과연 흉을 봡다해도 듣던 사람들도 과연 듣기만 했을런지 이럴때는 어떻게 해야 하는건지  , 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다기재하신 내용만으로는 확답을 드리기 어렵습니다 모욕죄의 경우에는 친고죄로서 6개월이 경과하면 고소권은 소멸하나 명예훼손죄는 반의사불벌죄로서 고소권이 소멸하지는 않습니다 다만 1년 전이라면 실무상 범죄사실과 고의의 입증이 어려울 것이라 사료됩니다 그러나 고소 자체는 자신이 피해자라 사료된다면 누구나 할 수 있는 것이므로 고소 자체는 가능할 것입니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
원룸 계약 끝나고,원룸 보증금 100에 월세 30살고 있다가 저번주에 계약이 끝났습니다집주인한테 보증금을 돌려달라고 하니 며칠뒤에 이렇게 문자를 보내왔네요1 10여년동안 구멍내지 않은 창문틀에 왜 구멍을 내어 파손하였는가 처마가 없어 빗물이 들어옴 인터넷선 설치한다고 대형2중유리창문틀에 구멍내어 파손 피해비용 600000원 중형2중창문틀 구멍내어 파손 피해비용 400000원2 변기를 일년내 청소하지 않아 변기 녹제거 청소비 40000원3 전등뚜껑 파손 3개 30000원4 수도요금 331납부 261120원 수도요금은 후불로 다음달 배당 80000원5 전기세와 가스세는 미고지6 세탁기 수도꼭지 부주의 사용 수도꼭지를 잠그지 않아서 아래층으로 물이 새어 아래층 천장벽지 피해 도배지공사 400000원7 수도 물샌다고 해서 방바닥 공사비 200000원합계 175만원부족금액은 추가 청구1번은 인터넷 설치한다고 뚫었다고 치고2번은 주기적으로 청소를 했고 방빼는 날에도 다청소를 해서 말도 안되고3번은 전등을 건드린적이 없는데 파손됬다고 하고4번은 원래 집주인이 문자를 주면 줬엇는데 이때까지 2만원씩 받다가 갑자기 이십만원대로 올라가고5번은 무슨말인지 모르겠고6번은 애초에 수도꼭지가 제대로 잠기지 않아 물이 샜고물이 샜다고 쳐도 아래층 벽지에 피해가 간게 이해가 안되고7번은 물이 샌다고 말하니 집주인이 직접 방바닥매트 치우고 수도관쪽 흙을 팠었는데 공사비 20만원이 어디서 나온건지 모르겠네요법적으로 가면 어떻게 되나요그리고 어떻게 해결해야하나요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다기재하신 사실관계만으로는 확답이 어렵습니다 결론적으로는 질문자님께서 주장하시는 사실과 상대방 임대인이 주장하는 사실이 상반되므로 입증자료의 확보가 가장 중요할 것이라 사료됩니다원칙적으로는 임차인은 퇴거시에 원상회복의무가 있으나 단순히 거주로 인한 통상적인 감가상각에 대해서는 원상회복책임이 없습니다 따라서 발생한 하자의 정도 및 임대인과의 종전의 합의내용을 입증할 수 있는 증거자료가 필요합니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
중고나라 사기 질문드립니다,중고나라에서 제품을 구매하였습니다구매하기전 판매자가 제품에는 하자가 없다고 하였으나택배를 받은후 가방을 확인해보니 가방끈이 헤져있었고 자크가 끊어져있었습니다중고나라 게시글을 다시 한번 아주 자세히 보니 표가 나있었습니다판매자한테 전화와 카톡을 해보니 모두 씹고있고 현재 2주째 잠적중입니다그후 경찰서에 갔으나 경찰서에서는 아무것도 해줄수 없다는 궤변만 늘어놓고 있습니다중고나라 판매자 그리고 일할의지가 없는 경찰 둘다 어떻게 하고 싶은데 어떻게 해야하나요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다기재하신 사실관계만으로는 일률적으로 답변드리기 어렵습니다 다만 형사처벌을 위해서는 사기죄가 가장 밀접한 관련성이 있는 조항이라 사료되나 원칙적으로 행위시에 기망의 고의가 입증되어야 하므로 범죄 성립여부가 불명확합니다 다만 민사상 채무불이행에 의한 손해배상청구는 가능할 것이라 사료됩니다 금전손해배상청구를 위해서는 소액사건절차를 이용하시면 편리합니다하단에는 법제처 제공 소액사건절차 안내 자료입니다239112질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
중고거래 사기건 소액,안녕하세요 제가 중고거래 사기를 당했는데요오늘 경찰서가서 진정서 쓰고 왔습니다만약 잡는다고하면 금액이 26000원인데 얼마까지 받을 수 있을까요돈이 중요한게 아니지만 괴씸해서 뜯을때로 뜯어버릴 생각입니다물론 소액이라 별로 안될 것 같은데 몇배까지 가능한가요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다형사합의금에 관하여는 일률적으로 말씀드리기 어렵습니다 이는 당사자간의 문제로서 최소한도 또는 최대한도가 존재하지 않습니다 나아가 상대방은 합의에 응할 의무가 없습니다다만 민사소송에 관하여는 원칙적으로 판례는 재산상 손해에 의한 정신적 손해는 재산이 보전됨으로써 치유된다고 보므로 추가적 배상을 청구하기 위해서는 특별한 손해의 존재를 입증해야 할 것이며 입증이 된다면 청구할 수 있습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
연체되서 법적소송한다고 하는데요,법적소송이 걸리기전에 자기희생신청해야하나요일시작하려고 하구요일을해도 그많은 금액을납부할수가없어서요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다기재하신 사실관계만으로는 일률적으로 답변드리기 어렵습니다 다만 도저히 변제할 수 없을 정도로 채무가 많으시다면 파산 또는 회생절차를 이용하셔야 할 것입니다 하단에 법제처 관련 안내자료를 링크했습니다616112질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
이거 신고하거나 어떻게 못할까요,계정 거래하기로 했는데 일주일뒤에 용돈을 받는다는 초등학생이 후불로준다고 아이디 먼져 쓰게 해달라고 찡찡거리길레 주고 20일에 받기로 했는데 21로 미루고 결국 4월로 미뤄달라는데 분해가지고 같은 지역살고 집주소 전화번호 다 아는데 어떻게 할수 없나요 , 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다만약 처음부터 변제를 할 의사 없이 매매계약을 체결했다면 사기죄에 해당할 것입니다 그러나 상대방이 초등학생이므로 형사미성년자로서 책임조각 무죄일 것이라 사료됩니다민사소송은 제기할 수 있으나 역시 상대방이 미성년자이므로 상대방의 친권자가 법정 소송대리인이 될 것이며 이를 통해서 계약상 이행청구를 할 수 있습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
매매대금 소유권이전등기청구권 동시이행시 채권소멸시효 관련 여쭤보고싶습니다 ,원고는 피고로부터 돈을 지급받음과 동시에 피고에게 매매를 원인으로 한 소유권이전등기절차를 이행하라라는 조정으로 2006 9 23 확정되었습니다현재까지 동시이행관계로 원고는 돈을 지급받지 못하였고 또한 소유권이전등기절차를 이행하지 않았습니다원고는 10년 채권 소멸시효에 해당할 것이로 보여집니다그러나 피고가 위 소유권이전등기를 받지 못하는 이유로 위 2012년에 부동산에 대하여 부동산처분금지가처분을 하였습니다여기서 문의드릴내용은피고가 부동산처분금지가처분의 행위로 피고의 소유권이전등기청구권은 소멸시효가 중단되어진 것으로 보여지는데 이 소멸시효 중단이 원고의 금원을 청구하는 채권소멸시효도 함께 중단되는 효과가 있을까요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다피고가 부동산처분금지가처분의 행위로 피고의 소유권이전등기청구권은 소멸시효가 중단되어진 것으로 보여지는데 이 소멸시효 중단이 원고의 금원을 청구하는 채권소멸시효도 함께 중단되는 효과가 있을까요 기재하신 사실관계에 불분명한 점이 있으나 원칙적으로는 동시이행관계에 있는 일방의 채권의 소멸시효가 중단되더라도 상대방의 채권의 소멸시효가 중단되지 않습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
문자내용 민사소송,안녕하세요욕설이 들어있지는 않지만부모관련하여 기분나쁜 문자를 받아서해당내용으로 고소를 하고싶었으나검색해보니 형사소송법으로는 처벌이 불가하다고 나와있더라구요지속성이 있거나 공연성이 있어야하는데11로 주고 받은 문자메세지라서돌아가신 부모님을 빗대어 얘기를 한거라제가잘못한게 없는데 저런말을 들은게 너무 억울하여어떻게든 처벌을 받게 하고싶은데요민사소송으로는 방법이 있는건지그리고 민사소송 진행하여 승소할 가능성은 얼마나 되는건지알고싶습니다, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다민사소송에 의해 청구를 하시려면 민법 제750조 불법행위책임에 근거한 금전손해배상청구가 가장 밀접한 관련성이 인정된다고 사료됩니다 다만 이때 청구하는 원고는 발생한 손해액 위법한 행위의 존재 그리고 행위와 손해발생 사이의 인과관계 등을 입증해야 합니다 따라서 만약 상대방의 위법행위로 인한 손해액을 입증할 수 있다면 승소가 가능합니다민법 제750조불법행위의 내용 고의 또는 과실로 인한 위법행위로 타인에게 손해를 가한 자는 그 손해를 배상할 책임이 있다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
계약 변경, 와 가 반반씩 할부금을 나눠 내기로 하였습니다가 계약금을 다 내는 조건으로 중간에 변경 하려고 하는데  그게 안된다네요법적으로 그게 안되나요 정말로 , 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다기재하신 사실관계만으로는 확답이 어렵습니다 원칙적으로 계약은 사적자치에 의해 지배되므로 당사자간의 합의에 의해 계약을 변경할 수 있습니다 다만 이때 제3자의 이익을 해하지는 못하므로 제3자가 계약당사자이거나 채권자라면 당사자간의 합의만으로 변경할 수는 없습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
집주인 민사소송질문이여,집주인이랑 원룸 보증금200에 월세55에계약햇습니다1년계약중 현재 반년지난 현재 전기세 도시가스 미납종이가 날라왓네여 근데 계약할때 월세55에 전기세도시가스비 다포함된금액이라 듣고 연락을햇는데 별도라고 말이바뀌네여일끝나고 집가서 계약서를 볼려고하는데 계약서에 55안에 다포함이라적혀잇으면 민사소송을걸려고하는데 질문이여1민사소송을 걸면 집주인에게서 제가받을수잇는 혜택이잇나요 합의금이라든가 피해본금액 민사소송에대해 잘몰라서여ㅎㅎ2민사소송비용은 얼마쯤들까요3이피해가 민사소송건에 해당되나여, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다1민사소송을 걸면 집주인에게서 제가받을수잇는 혜택이잇나요 합의금이라든가 피해본금액 민사소송에대해 잘몰라서여ㅎㅎ2민사소송비용은 얼마쯤들까요3 이피해가 민사소송건에 해당되나여 네 민사소송으로 진행하셔야 합니다 만약 기재하신대로 계약내용에 포함되었다면 승소시 이행이익 및 소송비용을 청구할 수 있습니다 특히 금액이 적은 만큼 소액사건절차에 의하면 편리합니다 민사소송 비용은 청구금액 등에 따라 달라질 수 있으므로 하단에 첨부한 법제처 제공 자료를 참조하시기 바랍니다239112질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
오빠에게 빌려준 돈 받을 수 있을까요,6년전에 1000만원 3년전에 1000만원 총 2천만원을 빌려준뒤 준다 하던 약속을 안지키고 작년에 겨우 50만원 받았습니다 지금 상대방쪽에서 빚을 갚을려는 마음이 전혀 안보이는데 상대방은 지금 신용불량자 상태인데 받을 수 있을까요 수익이 있으나 다른 통장으로 해서 급여 부분이 전혀 소득이 없는 사람이에요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다민사소송을 제기하실 수 있으며 민법 제390조 채무불이행에 기한 이행청구를 하시면 됩니다 소액사건절차에 의하는 것이 편리할 것이고 하단에 법제처 제공 관련 안내자료를 첨부했습니다상대방이 현재 무자력이라 하더라도 집행권원을 받는 것이 향후 상대방이 자력을 회복했을 때를 대비하여 유리합니다239112질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
상대외도 소송 질문이요,상대방이 외도를하고 다 정리하고 다시 제자리로돌아갔는데외도가 끝난지 6개월정도후에 이미지난일로 소송을할수있나요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다어떠한 일로 소송을 하려고 하시는지 알려주셔야 답변이 가능합니다원칙적으로 외도한 후 제자리로 돌아갔다거나 그로부터 상당시간이 지나갔다거나 하는 사정은민사상 형사상 책임을 구성함에 있어서 고려대상이 되지 않습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
취업시 실효된형,일반적으로 집행유예가 실효되었을 때 대기업 입사시 불이익이있나요어떤 분들은 범죄경력조회시 실효된형은 안뜨고 실효된 형은 보안방위산업관련만 요구 할 수 있다던데삼성같은 대기업에서 실효된형을 요구할 수 있나요 아니면 입사시 상관이없나요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다일반 사기업의 경우 당사자에게 범죄경력조회서 등을 제출 요구할 수 있겠으나 사기업이 직접 수사기관이나 법원에 요청하여 범죄경력조회를 하기는 어려울 것입니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
부동산 가압류,5년전 예기치 않던 사업부도후 하루도 쉬지않고 하루14시간씩 밤을 낮삼아 열심히 성실하게 살아 왔습니다사업부도전 신용보증기금에서 빌린 사업자금약6억에 매형이 연대보증했으나 사업부도 1개월전매형이 자택을 아는 분에게 가등기 했으나   최근 발송받은 서류에는 사해행위로 간주되어소송할거라고 합니다매형연세 75세이고 울며 불며 사정해도 들어주지 않습니다 도저히 매형 얼굴볼 낯도 없고 너무 깜깜해 출구가 보이질 않습니다이 고민을 떠안고 세상을 버려야 할까요전문가님의 빠른 답변 기다립니다, 로톡  이종찬 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 이종찬 입니다깊은 위로의 말씀을 드립니다사해행위취소가 인용될 수 있을지는 여러 본안전 본안후 요건을 모두 충족해야 하므로지금 계신 상황에 비추어 사실관계와 법리를 검토해 보아야 합니다반드시 전문가의 도움을 받아 소송에서 승소가능성이 있는지 검토해 보시기 바랍니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
친구한테 핸드폰 명의를 빌려줬는데,다름이아니라한 2년 전쯤 친구가 본인 명의로 핸드폰을 못만든다고 하여 명의를 빌려주었습니다당시에 저는 대학생이였고 크게 문제될거라는 생각은 없어 빌려주었고친구는 2년 정도 별문제 없이 잘사용했습니다하지만 친구가 작년 17년11월부터 올해1월까지 180만원 소액결제를 하였고 요금도 미납하였습니다그래서 통신사에서 다음날까지 요금을 납부하지 않으면 신용에 문제가 생긴다고 하여주변 사람들한테 돈을 빌려 180만원을 완납하고 핸드폰을 해지 시켰습니다그후 그친구와 연락이 되었고 친구가 60만원을 보내주었습니다처음에는 내일준다 그후 일주일뒤에 준다 한달뒤에준다 하더니3월5일까지 나머지 120만원을 준다고 약속하였는데 연락이않됩니다제가 못줄것같으면 연락만해라 뭐라고 않할테니까 연락을해서 사정이있으면 말을하고조금씩 나눠서 줘도 된다고 연락만 제발 꼭좀 해달라고 부탁했는데 잠수를 탔습니다친구고 뭐고 이제 필요없습니다 이제 남 입니다경찰서에 신고를 하던 소송을 걸던 어떻게든 돈만 받고싶습니다그친구한테 복수하거나 할생각 전혀없고 그냥 돈받고 더이상 만나고싶지않습니다이럴땐 어떻게 해야되는지 어떤 절차를 밟아야되는지 궁금합니다, 로톡  서지원 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서지원 입니다1명의를 빌려주는데에 합의를 하셨기때문에 형사 고소는 어려울 수 있습니다2다만 민사소송 절차를 이용하시거나 소액이므로 소액심판절차 혹은 지급명령제도를 이용하시면 빠르게 진행하실 수 있습니다3상대방에게 재산이 있다면 가압류절차도 함께 진행하시기 바랍니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
