제목,본문,답변
친아버지 5년전 돌아가셨구요 엄마 성으로 바꾸고 싶어요.,제목 그대로 친아버지 5년존에 폐암 말기로 돌아가셨구요. 저희 형도 4년전 암으로 죽었습니다. 뭐 무당한테 물어보니 저희 아빠쪽 성씨 집안 씨를 말리려고 하는 귀신이 있다는데요. 물론 저는 30대도 안됐고 혼자 남았다보니 엄마를 위해 건강해야하는?? 그런 처지가 됐습니다. 저희 엄마쪽은 아픈사람이 없거든요 물론 저도 세세하게 틈틈히 검사받은 결과 아직 건강하구요. 결론은 아빠쪽 가족에 정도 없고 엄마쪽 성으로 옮기고 싶은데 절차가 어떻게 되는지 궁금합니다. 아빠쪽 가족은 고모 삼촌 끝입니다. 어떤 방법이 있나해서 글 남깁니다.,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 성본변경 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
성본변경은 질문자분의 주소지를 관할하는 가정법원에 성본변경 허가를 신청할 수 있습니다. 또한 성본변경권의 남용을 방지하기 위하여 경찰에 범죄경력조회를 할 수 있고, 채무를 조회할 수 있습니다. 
따라서 무엇보다 성본변경이 필요한 사유를 잘 기재되어야 합니다.
성본변경의 청구인이 성인일 경우 가족 내부 및 외부에서의 불이익과 성본변경이 이루어졌을 시에 벌어질 수 있는 혼란을 비교하여 판단하는데, 현재의 성본을 그대로 유지할 경우 향후 학교생활 및 사회생활 등에 현실적으로 발생할 어려움이 구체적인 증거와 함께 밝혀져야 하고, 성본 변경을 통한 미래의 어려움을 제거하는 것이 청구인에게 더 큰 이익이 있다고 판단되어야 할 것입니다.
허가가 되면 한 달내에 구청에 신고를 하면 절차가 마무리됩니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다. 상세하고 친절하게 상담을 해드리도록 하겠습니다."
상간녀 민사 증거물 관련 질문 드립니다.,"상간녀 민사 위해 증거물 수집중 입니다.

이름,전화번호  차에 탑승하여 모텔에 가서 들어가는 모습(얼굴나옵니다) 수집하였습니다.

추가로 유부남인걸 알고도 만났다는 증거가 필요하다고 들었는데

블랙박스에 녹음된 대화중 남자가 와이프(이름언급) 하며 이야기 함, 

여자는 와이프에 대한 언급은 따로 하지 않고 이야기함   이걸로도 인지했다고 인정이 될까요? 

안된다면 어떤식의 증거물이 필요한지 궁금합니다. 

읽어주셔서 감사합니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성(법무법인 정향) 입니다.
◆ 상간녀 소송 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
상간녀가 배우자와 부정한행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하고 혼인의 유지를 방해하였으며, 이를 원인으로 하여 질문자분에게 정신적 고통을 가하였다고 하여 상간녀 소송을 제기할 수 있으며, 이혼 전후 관계없이 가능합니다. 
상간녀와 사이에 외도나 부정한 행위가 입증될 수 있는 문자나 카카오톡 등을 통해 상간녀 소송을 제기하여야 하며, 혼인 파탄의 책임이 상간녀에게 있음을 적극 입증하여야 합니다. 혼인관계를 인지하고 있었다는 사정에 대한 판단은 종합적인 사실관계를 기준으로 판단하므로 위 입증자료 외에 다른 증거가 뒷받침된다면 승소가능성을 높일 수 있을 것으로 판단됩니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다. 상세하고 친절하게 상담을 해드리도록 하겠습니다."
상간녀소송,"상간녀로소송당했습니다 3천만원지급하라는데 제가사실 감액에 대한소명 증거가 하나도없는 상황입니다 이렇게될줄알면서도 앞뒤안보고 그남자도그부인도미워서 일을이렇게까지 만들었는데 막상 소송당하니 그부인한테돈주는게너무싫지만 죄는인정하기때문에 위자료는 내려고생각합니다 그런대 그남자에게너무나도큰배신을당했고 속아왔던게 너무힘든대 위자료 배상까지제몫이더군요
감액받고싶은대 유부남알고만났고 증거자료가 빼도박도못할상황일때 변호사선임해서 뉘우치고있다는거밖에 어필할게없을때도 감액을받을수있을까요.. 어느정도까지감액받을수있을까요
바람피면서 저한텐 너무나도죽고싶을정도의상처를준 그남자는 이혼안할것같은데 그사람은아무런피해도안입는다는게 속상해서미칠것같은데 법적으로는 제가할수있는게 없는건가요..?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
상간녀에 대한 위자료 지급 청구 소송은, 배우자의 부정행위로 인하여 정신적 피해에 대한 손해배상입니다. 
따라서 그 인과관계의 입증 여부에 따라 소송의 승패가 가려지게 됩니다. 
충분히 방어가 가능해 보이니 법률전문가의 상담을 받아보시길 바랍니다. "
보이스피싱 현금전달책에게 민사소송을 진행할 수 있나요?,"안녕하세요. 지난 6월 보이스피싱에 의해 돈을 현금전달책에게 인계하였습니다.
현금전달책은 지금 재판에 넘겨져 9월 17일 1심판결이 나왔는데요.

판결문에 배상명령신청한 사람들의 신청을 모두 각하하라고 적혀있습니다.

이런 경우 민사소송을 진행한다면 피해보상을 받을 수 있나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
피해자에 해당할 것으로 보이나, 먼저 판결문을 검토해 보아야 정확한 판단이 가능할 것으로 보입니다. 
형사처벌을 받았다면, 통상 민사소송이 가능합니다. 
도움이 되었기를 바랍니다."
지급명령정본 확정후 10년뒤..,"이사람이 진짜 괘씸해서 10만원 때문에 전자 소송으로 지급명령 신청을 했고, 지금 지급명령정본 받은 상태입니다. 만약 이사람이 10년 뒤에도 돈을 안주고 버틴다고 가정하면, 제가 10년뒤에 채권추심 및 압류신청을 했을때 지급명령 신청서에 작성한 이자까지 다 붙여서 받을수 있는건가요..? 독촉절차비용 까진 받을수 있는거 같은데 10년치 이자는 못받는건가요..? 신청서 작성할때 10%로 제출했습니다. 궁금하네요..","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
이자 및 지연손해금을 청구할 수 있습니다. 다만, 시효를 유의하여야 합니다.
도움이 되었기를 바랍니다."
잠수탄 상간녀 찾는법,전남편이랑은 이혼한지 1년정도 됐어요. 상간녀한테 받아야할 돈이 2천만원이 넘는데 상간녀가 잠수를 탔어요; 등본주소도 다른분이 살아서 어떻게 해야할지 모르겠네요 흥신소에라도 의뢰를 해야하는지.... 이경우에는 어쩌죠?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
소송을 제기하면서 주민등록번호 등의 개인정보를 알고 있다면 현재 주거지를 알 수 있습니다."
미수금으로 상대방 상가 임차 보증금에 가압류 또는 설정 가능한가요?,"미수금이 몇천되는데 

상대방 임대차 보증금에 근저당 설정 또는 가압류 가능한가요?

만약 보증금이 5천이고 현시점에 가압류가 들어갔다면

차후 임차인이 월세를 계속 미납해서 보증금을 다까먹는 상태까지 간다면 

설정이 의미가 없는건지요.. 

진행한다면 변호사, 법무사 어디로 찾아가야 하나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
부동산가압류 및 민사소송을 진행한 이후, 압류로 전이하여 집행 을 하여야 합니다."
상간남위자료청구소송,"외도사실을 둘다인정하지만
상간남쪽에서 유부녀인줄몰랐다고하면
민사소송자체을 진행못합니까?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 상간남 위자료 청구소송 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
상간남에게 위자료 청구소송을 진행하면서 중요한 점은 상대방의 혼인 사실을 인지했는지 여부입니다. 대부분의 상간남은 상대방이 기혼인 것을 몰랐다고 주장을 합니다. 이를 충분히 알고 있었음에도 불구하고 부정한 행위를 저질렀다면 상간자에 대한 위자료 청구가 가능합니다. 
따라서 배우자와 상간남 사이에 외도관계가 형성되었고 이로 인해 혼인 파탄이 있음을 입증해야 합니다. 이에 문자메시지나 카카오톡 메시지 등 입증자료를 준비하여야 하며, 구체적인 사실관계를 가지고 변호사와 상담을 통해 어떠한 증거를 확보하여야 하는지 알고 준비하는 것이 바람직할 것으로 판단됩니다. 
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다. 상세하고 친절하게 상담을 해드리도록 하겠습니다."
법무사 비용 질문이요.(오피스텔 보증금),"오피스텔이 경매에 넘어갔고 법원에서 배당기일날
보증금 3500중에 2500을 받고 1000만원 못받았습니다.
현재 낙찰자가 오피스텔을 매수했고
오피스텔을 나와서 현재 다른 곳에서 살고 있습니다.
그렇다면 나머지 천만원을 받기 위해 개인적으로 소송을 해야 되는데요
법률사무소에 맞길려고 합니다.
1. 소송까지 총비용이 얼마 들까요? 또 소송이외에 들어가는 비용도 있나요?
2. 상담비용은 얼마인가요?
3. 재산이나 통장을 압류신청하는 것도 돈이 많이 드나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆  문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
배당이의 소송을 관할법원에 제기할 수 있습니다. 최우선변제에 해당하는지 지역은 어떻게 되는지, 그리고 입증자료 를 검토한 이후 정확한 판단이 가능하나, 가능성이 있을 것으로 보입니다.
배당이의 소송에서 승소할 경우 변호사 비용 등 소송비용에 대해 상대방에게 청구가 가능하며, 배당이의 소송도 법적 쟁점에 따라 소송의 실익이 다르므로 유의하여야 합니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
명도소송 임차인,"명도소송하면 소장이 임차인한테도 날라가죠?
명도소송도 임대인,임차인 법원가서 변론하고 결과가 나오는건가요?
승소하고 얼마있다가 강제집행되나요? 강제집행되기전에 임차인에게 알려주나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 명도소송 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
명도소송은 임대차기간 종료시 임대인이 소를 제기할 수 있으며, 소장부본을 송달받게 되면 이에 대한 대응을 하여야 하며, 임대인과 합의하여 소송을 취하시키든가 아니면 응소하여 임대인의 귀책사유임을 주장, 입증하여야 합니다.
명도소송시, 건물의 인도 및 손해배상 등 청구를 할 것으로 예상되며, 판결이후 강제집행이 진행되나 미리 알려주지 않습니다. 따라서 이에 대해 종합적으로 검토하고 대응방안을 모색하는 것이 바람직합니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 형사전문변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
전자소송 지급명령 이후,아는 사람한테 돈을 빌려준 후 갚지 않아 지급명령을 신청했는데요 만약 그래도 돈을 받지 못하면 그 다음엔 어떤 걸 해야하나요? 비용도 많이 들까요? 그리고 만약 그 사람이 집에 없고 같이 사는 사람만 있으면 어떡하나요? 알려주세요 부탁드립니다ㅜㅜ,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
지급명령 결정이후 채무자가 변제를 하지 않는다면 강제집행을 진행하여 피해금원을 회복할 수 있습니다. 강제집행을 진행 하기 전, 상대방의 재산을 먼저 파악하는 등 전략적으로 진행하여 추심가능성을 높이는 것이 바람직합니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
재산명시 결정등본이 도달되었다는데 어떻게하나요?,"2020.07.21
신청서접수
2020.07.29
참여관용 기타
2020.07.30
채권자1 주식회사 ㄱㅁㅋㄷ카드에게 보정명령등본 발송
2020.08.03 도달
2020.08.05
채권자 주식회사 ㄱㅁㅋㄷ카드 보정서 제출
2020.08.11
결정
2020.08.12
채권자1 주식회사 ㄱㅁㅋㄷ에게 재산명시결정등본 발송
2020.08.20 0시 도달
2020.08.12
채무자1 ***에게 재산명시결정등본 발송
2020.08.20 0시 도달
지금 내사건조회해보니까 이렇게 나와있거든요 저한테 재산명시 결정 등본을 발송했고 도달이라뜨는데 
08 .20 0시에 제가 등기를 받은게없는데 어떻게되어가는건지요 언제쯤 우편물이오나요?
1.결정등본이 채무자와,채권자에게 도달이되었으니 무조껀 우편물을 받야아하는지
2.결정등본이 채무자와,채권자에게 도달이 되었는데 우편물을 받지않고, 폐문부재하면 어떻게되는건가요","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
폐문부재등의 사유로 송달간주 한 것으로 보입니다."
민사승소후 소송비용청구 문제,얼마전 임대수수료 문제로 부동산에서 소액민사재판 청구를 하였습니다 졸지에 피고로10개월동안 재판받았습니다. 하지만 원고패소로 제가승소 하였습니다 이럴 경우에 재판출석및 재판준비로 교통비와 사업을 하는 저에게 손해가생겼습니다 이럴경우 소송비용청구는 어떤식으로진행할까요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
소송비용으로서 인지대 및 송달료, 변호사비용등을 청구할 수 있 습니다."
전세금반환소송 관련 질문드립니다.,"아버지가 1999년 즘에 전세금의 절반 정도를 반환받지 못 하고 참고 지내시다 결국 고소를 하시어 2010년 8월 24일에 원금과 이자를 지급하라는
수원지방법원의 판결을 받으셨습니다.
그러나 2014년 즘 결국 돈을 1원도 받지 못 하시고 경제적으로 힘들어 하시다가, 극단적 선택을 하셨습니다.. 그래서 제가 이 일을 맡아 이번에 처리하려고 하는데, 선고일로부터 아직 10년이 되지 않았는데, 제가 뭘 하면 될까요? 우선 판결을 다시 받아놔야 할까요?
아버지가 돌아가시기 전까지 이 일로 정말 너무 힘들어 하신 것을 알고있고, 상대방은 단돈 1원도 상환할 노력조차 보이지 않았습니다. 저는 돈을 받지 못 해도 편하게 살지는 못하게 해주고 싶습니다......","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 보증금 반환 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
보증금반환청구소송 의 민사 판결을 받으신 것으로 보이고, 사기죄 등으로 고소를 하였는지 여부는 분명치 않은 것으로 보입니다. 
보증금반환청구소송의 민사 확정판결을 받으셨다면, 시효가 거의 다 되어가므로 서둘러서 시효를 연장하는 것이 중요할 것으로 보입니다. 
그리고 강제집행을 진행하지 않았다면 집행도 서둘러서 진행을 하고 추심을 하는 것이 바람직합니다. 강제집행을 하는데는 전략적으로 하는 것이 중요합니다.
또한 이전에 보증금 반환 소송을 진행하면서 변호사를 선임하였다면 승소시 변호사 비용 등 소송비용에 대해 상대방에게 청구할 수 있습니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
상간녀소송진행,상간소송은 법원 재판소에서 하는걸로 알고있습니다.북부지방법원 민사11단독과 재판호실이 정해지고 8월7일날 첫변론일 이라는 재판부의 통지를 받고 몆개월을 기다렸는데 어제 가정법원으로 이송됬다는 통지를 받았습니다.저는 피고인이구요.이녀한 경우는 이유가 뭔지 알고싶습니다,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 상간녀 소송 진행과 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
상간녀 소송을 할 경우 원고가 가정법원에 소장을 제출할지, 지방법원(민사)에 해야 하는지 관할법원을 잘 모르고 잘못 진행하였다가 시간을 낭비하는 경우가 있습니다. 심지어 이혼소송을 위임받은 법무법인에서 이러한 실수를 종종 하기도 합니다. 
이혼을 진행하지 않고 상간녀 소송을 진행할 경우에는 상간녀 소송이 민사사건(손해배상)으로 진행됩니다. 따라서 원고 주소지의 지방법원 또는 상간녀 주소지의 지방법원에 소송을 제기할 수 있습니다. 
그러나 이혼소송을 하면서 상간녀 소송을 진행하고자 한다면 피고의 주소지를 관할하는 가정법원에 소장을 제기하고 소송을 진행할 수 있습니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
민사소송 연락,상대방이 고소장을 접수하면 저한테는 연락이 언제쯤 올까요? 2달정도 지낫는데 아무연락이 없어서요 그리고 고소햇다는걸 제가 확인할수잇는 방법잇나요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
형사 고소를 하였다면 피의자 조사시 관할 경찰서의 담당수사관에게 연락이 오며, 입건 이후에 확인이 가능합니다. 
그리고 상대방이 민사소송을 제기하였다면, 소장 부본을 법원에서 피고에게 송달을 하게 됩니다. 따로이 조회를 하기 위해서는 사건번호, 법원 등을 알아야 합니다.  
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
사기 민사소송 승소하였는데 이후에 어떻게 진행을 해야하나요??,"투자사기로 금액 1700만원대입니다.

위와같이 원고 승리 하였다고 결과가 나왔고 아직 통지서는 받지 못했습니다.

이 사람은 계획적인 사기꾼이라 재산압류를 하거나 할 수 있는 모든 제한을 걸어버리고 싶습니다.

어떠한 절차, 방법을 따라야 하는지 가르쳐주시면 감사하겠습니다.

예를 들어 처음에 재산조회를 한다음 압류등을 걸어야 하는건지요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
판결에 기한 강제집행을 하여야 하며, 강제집행은 전략적으로 하여야 추심 가능성이 높아집니다. 
강제집행은 채무자의 재산 상태, 성향 등을 구체적으로 검토하고 진행을 하여야 합니다. 따라서 구체적인 사실관계를 가지고 상담을 진행하여야 합니다. 
재산 조회도 바로 진행할 수 없으므로 유의하여야 하며, 변호사의 조력을 받고 효율적으로 대응하는 것이 바람직할 것으로 판단됩니다. 
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
통신매체이용음란죄,"제 친구가 롤을하다가 기영이 (가명) 라는 닉네임을 갖고있는 사람에게 ‘기영이 국물맛있겟다’ ‘기영이 침대에서도 잘하냐?’ 등의 발언으로 고소를 당했습니다 고소내용은 통신매체 이용음란죄이구요 . 조사를 받고 혐의를 인정하고 진정으로 사과하겠다고 번호를 받아서 피해자에게 사과를 표했더니 그쪽에서는 합의금부터 이야기하더니 250만원 이하로는 합의해줄생각이없다고 합니다. 그러면서 250만원을 주지않으면 민사소송까지 넘어간다는 발언까지 했습니다.
제친구는 진심으로 뉘우치고 전과도없는 친구인데 이런경우에 합의를 안하면어떻게되나요?
또 민사소송으로넘어가게되면 어떻게되는건가요??","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 통신매체이용음란죄로 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
통신매체이용음란죄는 질문자분이 성적만족을 목적으로 음란한 메세지를 보내었고, '상대방의 성적수치심이나 혐오감'을 유발하였다고 볼 수 있는 경우 성립되고 처벌 받을 수 있습니다. 통신매체이용음란죄 사건은 요즘 처벌이 강화되어 초범인 경우에도 엄벌에 처하고 있습니다. 
혐의사실을 인정하고 있다면 합의가 도움이 될 수 있으나 합의금 등에 부담이 있다면 합의경험이 많은 형사전문변호사와 상담을 하고 대리하여 합의금을 조정할 수 있습니다. 
그리고 합의가 되지 않는다면 상대방이 민사소송을 제기할 수 있으나, 위 사건이 불기소 처분 등 경한 처벌을 받게 되면 민사소송의 가능성은 낮아지게 됩니다. 
따라서 민형사적으로 법리적으로 방어가 가능한 사건이나 자칫 기소되어 형사재판을 받고 민사소송에서도 불리할 수 있으므로, 통신매체이용음란죄 관련하여 경험이 많은 형사전문변호사와 구체적으로 상담을 하고 적극 대응하여야 할 것입니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
소액 민사소송,"친구한테 천만원을 빌려줬었어요.
이번달까지 갚는다고 했는데 이번년도 안으로 조금씩 나눠서 준다고해요.
근데 저는 이번달까지는 무조건 받고 싶어서 7월까지 다 준비해놓으라고했는데 노력은 해보겠대요.
그래서 소액민사소송 생각중인데요
증거는 차용증은 없습니다. 입금내역은 있고요. 지금 돈 당장 못주겠다고 이번년도까지 기다려달라고 하는 카톡 내용도 있어요. 
이정도 증거로 소액민사소송해서 승 가능한가요?? 차용증이 없어서요..근데 차용증이 없으면 감액된다는 글도 본거같아서 질문드려요.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 민사소송 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
대여금을 변제기한까지 갚지 못한다면 민사소송을 제기하여 강제집행을 진행하여 대여금원을 돌려받을 수 있습니다. 채무자와의 차용증이 없다면, 문자메시지, 카카오톡 등 입증자료를 가지고 진행이 가능하며, 
채무자에게 소송을 제기하기 전에 집행까지 효율적으로 하기 위하여 변호사와 상담 후 대응방안을 모색하고 진행하는 것이 바람직 합니다. 대여금을 돌려받기 위해서는 소 제기부터 전략적으로 접근하는 것이 효율적이기 때문입니다.
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
성추행 피해자 민사 소송," 성추행 민사 소송을 혼자 진행하고 싶습니다. 변호사 수임료가 부담이 되고  위자료를 얼마나 받을지 모르기도 몰라서요.

 상황 설명을 하자면 2020년 07월 01일, 유흥가에 가서 저 혼자 향수 영업, 판매를 하고 있었어요. 실례합니다~하면서 제품 설명하는데 가해자가 안 산다고 저리가라면서 왼쪽 어깨랑 등을 만지고 밀쳤어요. 정색을 하고 자리를 피했고 112에 신고를 해서 경찰관, 가해자, 저(피해자), 가해자 일행끼리 얘기를 했어요. 녹음을 했었는데 가해자가 저더러 ""너 지금 녹음하고 있냐, 내가 너 고발할 거다, 너 같은 애가 나라 망하게 하는 거다, 요즘 애들 이렇게 돈을 버냐, 그렇게 살지 마라, 애비도 없냐""라고 말했어요. 흥분한 마음 가라앉히고 존댓말 꼬박꼬박 쓰면서 대꾸했고 저는 상대에게 별다른 말은 안 했어어요.

 수사관님이 가해자랑 제 인적 사항 알고 계시고 내일 추행 당한 지역 경찰서로 사건 접수하러 가요. 저는 사건 발생한 곳이랑 좀 멀리 떨어진 데 살아요.

 녹음에는 가해자 본인이랑 가해자 일행이 저를 만졌다는 내용이 있고, 가게 cctv는 없어요.
   제가 찾아본 바로는 제가 미성년자(만 16세)라서 아청법, 모욕죄, 공공성이 있기에 명예훼손, 강제 추행이 있는데 이걸로 민사소송 가능할까요?
 그리고 지병으로 우울증, 공황장애, 불안장애가 있는데 추행 이후에 공황이 몇 차레 더 있었거든요. 병원비 같은 물질적 손해와 정신적 손해 주장 가능할까요?

 민사 소송을 어떻게 하면 좋을지랑 형사 처벌과 만약 민사 소송을 걸면 어느 정도의 형벌과 위자료가 나오는지 답변 부탁드립니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 성추행 관련하여 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
성추행, 즉 강제추행은 강제로 유형력을 행사하여 피해자의 신체를 접촉하고 이를 원인으로 상대방에게 성적수치심이나 혐오감이 드는 경우에 성립합니다. 
질문자분이 성추행 피해에 대해 상대방에게 배상 책임을 원한다면 형사고소가 우선되어야 할 것으로 보입니다. 형사상 성추행이 성추행이 성립된 이후 민사소송이 가능합니다. 또는 합의를 통해 피해를 회복할 수도 있습니다. 
따라서 성추행으로 상대방을 고소할 경우, 이에 대한 입증 및 고소 이유를 법리적으로 주장하는 것이 중요합니다. CCTV는 피해자도 확보를 할 수 있으며, 변호사의 조력을 받아 다소 용이하게 확보할 수 있습니다. 
그리고 성추행 당시에는 당황해서 별다른 거부의사를 표시하지 못하였다 하여도, 피해자가 성적수치심을 느꼈다면 성추행이 성립할 소지가 있습니다. 따라서 가해자가 구체적으로 가슴과 엉덩이를 만지는 행위 등 추행행위를 어떻게 하였는지 구체적으로 검토하여야 하고, 법리적으로 상대방의 성추행을 입증하고 진술한다면 초범이라도 처벌 가능성이 높습니다. 
고소시 의뢰인이 무고의 혐의가 없도록 하여야 하고 가능한 부분이며, 이를 위해 구체적으로 사실관계를 검토하고 적극적으로 대응을 하여야 하며, 혼자서 해결하는데 어려움이 있다면 변호사와 상담을 통해 구체적인 대응방안을 모색하는 것이 바람직하다고 판단됩니다. 상대방이 중한 처벌을 받아야 별도의 민사소송을 통해 피해를 금전적으로 회복하는데 도움이 됩니다. 
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
인스타 메시지로 성희롱,"가해자를 모르면 고소할 수 없다고 나오는데, 가해자가 누군지 예상이 되면 형법상으로 처벌이 가능한가요??","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 박재성 입니다.
◆ 문의주신 사항에 대해 다음과 같이 답변드리겠습니다.
인스타 메시지로 성희롱을 하는 경우 고소가 가능합니다. 상대방이 성적 욕망을 유발하거나 만족시킬 목적으로 인스타 메시지를 보내어 질문자분에게 도달하게 한 경우 2년 이하의 징역 또는 2천만원 이하의 벌금형에 해당하는 처벌을 받을 수 있습니다. 
해당 메시지의 확인이 필요하며, 정신적인 스트레스가 심할 것으로 보이며 상대방이 중한 처벌을 받을 수 있도록 고소 전 지금까지 수집한 입증자료를 지참하여 변호사와 상담을 하고 구체적으로 대응을 하는 것이 바람직합니다. 
현재도 인스타그램에서 발생한 사건을 대리하여 형사사건을 진행하고 있습니다. 
도움이 되었기를 바라며, 추가로 문의할 사항이 있거나 변호사의 조력이 필요하다면 아래 지식인 카드상의 연락처로 연락 바랍니다.
상세하고 친절하게 상담을 해드리도록 하겠습니다."
